Jammu & Kashmir,Chandigarh,Jharkhand,Odisha,Chhattisgarh,Kerala,Karnataka,Assam,Gujarat,Bihar,A & N Islands,Uttarakhand,Manipur,Madhya Pradesh,Meghalaya,Himachal Pradesh,Tripura,Dadra & Nagar Haveli,Puducherry,Delhi,Punjab,Nagaland,Sikkim,Andhra Pradesh,West Bengal,Haryana,Tamil Nadu,Daman & Diu,Maharashtra,Rajasthan,Arunachal Pradesh,Uttar Pradesh,Telangana,Goa,Lakshadweep,Mizoram
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9469156458333,,,,,,
,,,,,,,,,,,,,,,,,,,,24.7753999875000,,,,,,,,,,,,,,,
,,,,,,,21.3399189583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,21.5066747291667,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1176924062500,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2427304166667,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6484470000000,,,,
,,,,,,,,,,,,,,,,,,,,25.8500742166667,,,,,,,,,,,,,,,
,,,,,,,,,23.5205139541667,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,28.2893747083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,34.8940342291667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,23.0112008333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.0973393729167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,24.7338043062500,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21.4909505625000,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9128096547917,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0252869375000,,,,,,
,,,,,,,,29.6270907395833,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6868597437500,,,,,,
,,,,,,,,,,,,,30.0677456904167,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,25.9694192658333,,,,,,,,,,
,,,,,,,,,22.7739191875000,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,23.1280300208333,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1430603312500,,,,,,,
,,,,,,26.2223465916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,23.5167686416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0463714375000,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0371692291667,,,,
,,,,,,,,,,,,,,,23.9181371458333,,,,,,,,,,,,,,,,,,,,
,,,,23.0223066479167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,31.9575511250000,,,,,,,,,,,
,,,,,,,,,,,,19.3300287500000,,,,,,,,,,,,,,,,,,,,,,,
,,15.4742414166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
