Large (More than 300 beds),Mid-sized (Between 200 and 300 beds),Small (Less than 200 beds)
37.3451579,23.02992575,19.77742325
38.30707313,23.04716591,19.78692226
17.7472203,23.09172906,19.79951073
17.96259242,23.10396143,19.86739193
19.34371115,23.10552083,19.867938
19.95409141,23.11291646,19.8682839
20.95395977,23.14973231,19.86900321
21.02924091,23.17670135,19.90035271
21.16361129,23.17981517,19.9311659
21.42700396,23.20176042,20.04379917
21.60952423,23.20407704,20.08905356
21.84026799,23.27254423,20.09697184
21.87424306,23.37530211,20.17711021
22.11512583,23.43502931,20.23281109
22.42777579,23.45976094,20.24058444
23.06817717,23.51676864,20.27051485
23.12803002,23.53367792,20.28459554
23.18170188,23.63630758,20.28686955
23.46544113,23.63684781,20.29385171
23.48003644,23.73327506,20.37929604
23.55221875,23.75716742,20.45541983
23.65174556,23.82129106,20.47648834
23.72930113,23.83867856,20.4834704
23.73014751,23.88159605,20.49470238
23.75712528,23.88718926,20.53058446
23.76004027,23.9089281,20.57041715
23.89167581,23.91813715,20.61643877
23.90486656,23.98531742,20.62906217
23.9565936,24.02492352,20.65108233
24.04942034,24.04266298,20.67131254
24.08811989,24.12846694,20.71270034
24.10703486,24.1561651,20.75191854
24.15633938,24.28396352,20.75639506
24.18372089,24.32009744,20.77195708
24.24354133,24.51817985,20.78279784
24.35013799,24.65423375,20.84742348
24.36121951,24.66170393,20.859019
24.48429633,24.6787499,20.87507188
24.49765642,24.73380431,20.90494104
24.54290631,24.76331188,21.01810625
24.54396434,24.83151525,21.04183352
24.56822494,24.84596725,21.04493244
24.64479298,24.87442492,21.04637144
24.67146065,24.88840498,21.077164
24.74655152,24.89817077,21.09733937
24.77590275,24.94691565,21.11236996
24.86863354,24.99852625,21.11537298
24.87318997,25.06336759,21.11840611
24.87563888,25.23251283,21.12210929
24.97619145,25.29003163,21.12579517
25.02528694,25.31265296,21.171686
25.03027201,25.41713287,21.20978842
25.08892898,25.42016531,21.21196292
25.14163391,25.50231263,21.21432356
25.15797729,25.50503333,21.21973631
25.16905654,25.54819513,21.22109249
25.1974881,25.58329489,21.30596279
25.22101173,25.59531294,21.33991896
25.22627388,25.59944384,21.38521633
25.26393449,25.84841009,21.40679417
25.379227,25.89000717,21.40888957
25.41292315,25.90539095,21.41367021
25.50483507,25.91470865,21.47482844
25.53591542,25.96941927,21.49095056
25.60122283,25.98989702,21.54741227
25.65186948,26.00346354,21.55388069
25.65889271,26.00929544,21.57034469
25.69022829,26.02334583,21.57866958
25.72468628,26.0943071,21.63202675
25.72651917,26.54196915,21.6445263
25.75448292,26.65528797,21.64625456
25.86367321,26.69783155,21.68684973
25.91280965,26.78844893,21.74378122
25.91658172,26.83552433,21.76144619
25.94948977,27.0377522,21.77691556
25.96565457,27.05426965,21.79165326
26.02112333,27.44908932,21.82091844
26.10293198,27.68015796,21.88796243
26.14352159,27.78566234,21.90585231
26.20147748,27.90036726,21.90919583
26.2156635,27.93618598,21.93650792
26.22234659,27.9851129,21.95068792
26.25052417,28.18170396,21.95154369
26.27405681,28.47258498,21.97696379
26.28965835,28.68640122,21.98589955
26.36126344,29.02136032,22.01624203
26.41297455,29.11769241,22.01880561
26.43746498,29.49437394,22.02471717
26.47138889,29.62709074,22.05372646
26.58551346,31.17213867,22.05514954
26.58659678,31.81702571,22.05890421
26.61109188,31.8203283,22.06710195
26.62947831,31.95755113,22.07118385
26.64410824,16.343788,22.08719784
26.68032166,17.08475158,22.10114735
26.71057976,17.447044,22.10186654
26.73369181,19.24273042,22.10670127
26.78029821,19.90489383,22.13822751
26.80048353,19.90960042,22.19269854
26.87802411,20.10852196,22.24322071
26.87935606,20.48868594,22.24770065
26.94599305,20.75552421,22.25213354
26.95891408,21.056468,22.2544167
26.96601079,21.37619498,22.29706717
27.00099446,21.50667473,22.3339395
27.00740273,21.65445699,22.33825385
27.02174767,21.67988658,22.34786306
27.02332235,21.71224367,22.3954566
27.05550247,21.78383633,22.40946806
27.07318824,21.97812419,22.42352402
27.08462981,21.98907964,22.42938104
27.09041899,22.09792473,22.43187083
27.14935456,22.28976373,22.43589942
27.25507485,22.31202088,22.4776316
27.35619335,22.6276451,22.51136923
27.44567618,22.66173578,22.54914108
27.56498384,22.7255109,22.55306215
27.61448733,22.80769008,22.55693613
27.63793406,23.00885875,22.56527765
27.68583763,23.01120083,22.57019693
27.68685974,23.02992575,22.5850971
27.7336773,23.04716591,22.6143025
27.90687889,23.09172906,22.62624229
28.02776967,23.10396143,22.62980333
28.07611146,23.10552083,22.6764812
28.19622283,23.11291646,22.68461627
28.28010994,23.14973231,22.69951027
28.28937471,23.17670135,22.74303667
28.37772398,23.17981517,22.77391919
28.57264467,23.20176042,22.8189788
28.93142171,23.20407704,22.85686352
29.18688081,23.27254423,22.85841045
29.24615483,23.37530211,22.86384381
29.49083926,23.43502931,22.86682131
29.74872708,23.45976094,22.88338252
29.86253125,23.51676864,22.89204792
30.06774569,23.53367792,22.93718789
30.11149333,23.63630758,22.98804587
30.79533723,23.63684781,22.99019373
30.86372721,23.73327506,23.01436705
30.89139239,23.75716742,23.02230665
31.14306033,23.82129106,23.02328219
31.37960165,23.83867856,23.03435952
33.11781375,23.88159605,23.03747104
33.4920499,23.88718926,23.06406862
34.57931739,23.9089281,23.06564877
34.89403423,23.91813715,23.07228597
35.67418863,23.98531742,23.08830742
35.78853367,24.02492352,23.09126813
37.3451579,24.04266298,23.12685917
38.30707313,24.12846694,23.13922465
,24.1561651,23.14701412
,24.28396352,23.1570636
,24.32009744,23.17684319
,24.51817985,23.18819482
,24.65423375,23.22157486
,24.66170393,23.22873799
,24.6787499,23.23211675
,24.73380431,23.24667279
,24.76331188,23.25090777
,24.83151525,23.2556318
,24.84596725,23.25801317
,24.87442492,23.32056589
,24.88840498,23.34407271
,24.89817077,23.36819415
,24.94691565,23.36885629
,24.99852625,23.38554604
,25.06336759,23.38987604
,25.23251283,23.39587858
,25.29003163,23.41494283
,25.31265296,23.44398896
,25.41713287,23.44404877
,25.42016531,23.47891494
,25.50231263,23.47906583
,25.50503333,23.49300729
,25.54819513,23.49972563
,25.58329489,23.52051395
,25.59531294,23.54160375
,25.59944384,23.61353648
,25.84841009,23.62485557
