Non-High Focus States - Large,Non-High Focus States - Small & UT,High Focus States - Non-NE,High Focus States - Northeast
25.43942919,27.22389473,19.78692226,22.10186654
25.48189073,28.18170396,19.79951073,22.33825385
25.50231263,28.33041841,19.867938,22.40946806
25.50483507,28.38154165,19.86900321,22.54914108
25.53591542,29.18688081,19.90035271,22.56527765
25.54819513,30.86372721,19.9311659,22.5850971
25.58815494,32.89105144,20.04379917,22.62980333
25.59944384,,20.08905356,23.17684319
25.60122283,,20.09697184,23.36819415
25.65889271,,20.23281109,23.53367792
25.72468628,,20.27051485,23.65174556
25.75448292,,20.28459554,23.90486656
25.81065448,,20.29385171,23.97934
25.82045942,,20.37929604,23.97936889
25.84841009,,20.47648834,23.99724658
25.85007422,,20.4834704,24.03598711
25.86367321,,20.49470238,24.11914525
25.89000717,,20.53058446,25.44531756
25.90539095,,20.57041715,25.71627627
25.91280965,,20.61643877,28.47258498
25.91470865,,20.67131254,28.53235313
25.91658172,,20.71270034,28.68640122
25.94948977,,20.75191854,29.86253125
25.95321379,,20.75552421,
25.96941927,,20.75639506,
25.98989702,,20.78279784,
26.00346354,,20.84742348,
26.00478716,,20.859019,
26.00929544,,20.87507188,
26.02334583,,20.90494104,
26.0943071,,21.04637144,
26.10293198,,21.056468,
26.14352159,,21.09733937,
26.16429872,,21.11236996,
26.20147748,,21.11537298,
26.2156635,,21.11840611,
26.22234659,,21.12210929,
26.25052417,,21.12579517,
26.28965835,,21.171686,
26.38776873,,21.20978842,
26.41297455,,21.21432356,
26.47138889,,21.21973631,
26.58551346,,21.22109249,
26.58659678,,21.30596279,
26.61109188,,21.37619498,
26.64410824,,21.38521633,
26.65528797,,21.40679417,
26.68032166,,21.40888957,
26.69783155,,21.41367021,
26.73369181,,21.49095056,
26.78029821,,21.50667473,
26.78844893,,21.57034469,
26.80048353,,21.57866958,
26.83552433,,21.60952423,
26.87802411,,21.63202675,
26.87935606,,21.6445263,
26.94599305,,21.64625456,
