National
126
220
363
264
320
241
50
206
50
316
60
160
200
200
309
220
598
150
50
150
170
60
147
200
300
740
210
250
140
450
930
750
410
650
250
250
250
1020
300
400
400
100
950
400
300
316
640
300
560
100
450
150
200
905
100
150
150
100
750
152
645
700
543
422
185
545
468
477
613
300
526
296
370
413
256
726
354
210
375
304
386
136
200
235
230
103
100
450
97
222
370
100
180
640
386
100
108
100
188
200
300
150
325
200
100
60
27
100
60
235
182
100
200
326
700
282
103
100
100
100
60
100
314
200
80
100
121
100
72
38
80
636
280
73
60
34
143
26
45
51
500
270
20
261
250
180
200
90
100
100
109
120
50
45
68
108
125
76
50
70
38
63
53
132
32
114
100
590
74
200
415
849
105
50
100
80
64
29
50
50
36
141
286
50
254
93
460
160
135
160
40
70
200
100
625
427
178
175
225
410
126
165
100
100
430
436
40
200
110
20
160
32
300
36
50
250
54
68
160
59
36
64
120
44
150
405
300
216
300
300
215
625
600
549
75
150
200
160
200
100
80
120
104
200
470
120
270
100
120
200
100
100
100
100
100
58
114
124
100
100
75
80
160
82
98
100
84
136
82
102
169
288
111
410
272
100
40
200
50
150
45
80
70
30
100
250
116
150
52
176
214
300
81
300
160
93
128
186
110
99
120
116
269
160
40
235
110
200
302
200
225
230
100
70
100
150
92
236
83
333
163
200
200
100
137
64
100
126
305
242
360
476
150
210
300
119
300
525
162
380
675
146
165
108
272
200
278
252
200
130
164
232
140
60
110
60
100
197
177
60
50
52
175
100
343
365
130
70
100
210
82
100
50
135
104
60
200
370
307
701
200
525
300
400
294
250
296
200
307
200
150
300
400
300
400
454
333
220
256
285
150
551
150
255
100
406
236
100
50
320
379
189
145
100
274
200
200
356
60
482
541
306
60
282
125
100
219
128
200
240
120
172
47
168
216
125
300
300
30
300
400
300
200
200
400
700
500
500
100
184
64
300
305
141
195
300
300
300
350
350
300
200
200
300
300
200
150
80
100
30
68
100
18
100
155
88
300
200
500
300
300
400
400
100
100
300
400
100
100
195
187
78
286
180
125
153
146
72
200
144
320
168
68
166
100
326
400
325
230
191
74
30
100
100
100
100
30
134
174
325
140
75
54
74
100
100
100
330
90
262
313
100
100
30
60
167
62
50
296
100
100
68
423
185
100
248
176
65
232
100
30
100
212
114
234
79
175
127
103
30
160
204
230
100
48
121
150
100
137
150
100
100
30
100
75
100
656
110
82
376
466
100
85
1200
30
240
100
200
65
100
135
108
281
43
60
163
60
100
100
100
73
200
200
600
200
60
364
639
273
100
506
171
100
200
450
226
45
428
400
60
300
200
525
300
747
544
255
403
97
60
110
164
470
160
300
83
76
541
501
110
353
135
154
105
114
102
178
100
300
120
144
360
100
45
222
115
100
300
200
450
250
257
1077
350
350
250
500
250
300
