Andhra Pradesh,Goa,Telangana,Tamil Nadu,Haryana,West Bengal,Karnataka,Maharashtra,Punjab,Gujarat,Kerala
,,,28.19622283,,,,,,,
,,,,,,,,,,22.09792473
,,,,,,,,,,25.41292315
,,,,,,,,,,21.02924091
,,,26.47138889,,,,,,,
,,,,,,,,,,26.65528797
,,,24.89817077,,,,,,,
,,,24.84596725,,,,,,,
,,,27.02332235,,,,,,,
,,,23.00885875,,,,,,,
,,,27.90687889,,,,,,,
,,,,,,26.94599305,,,,
,,,,,,24.12846694,,,,
,,,,,24.48429633,,,,,
,,,,,,26.96601079,,,,
,,,,,,,,,23.36885629,
,,,25.91470865,,,,,,,
,,,24.36121951,,,,,,,
,,,27.56498384,,,,,,,
35.78853367,,,,,,,,,,
26.00929544,,,,,,,,,,
,,,,,,,24.32009744,,,
,,,,,,,,,,25.89000717
25.53591542,,,,,,,,,,
,,,,,,19.56261621,,,,
